,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters,exact_gs_energy,bf_time
0,10,32,0.01,15,30,1,586.836345911026,-7.703132720111922,68.6504062672307,83.62794151783991,18.38644851645739,11.502020409229544,-12.458876715037034,0.14126062393188477
1,10,32,0.01,15,30,2,606.774747133255,-8.90717262585147,4.400758504395323,54.82566422105608,182.69748349435756,9.355244654848907,-12.458876715037034,0.14126062393188477
2,10,32,0.01,15,30,3,633.9875702857971,-8.90717262585147,1.5642599897080305,36.26422866357508,27.69775564587696,4.554667457736466,-12.458876715037034,0.14126062393188477
3,10,32,0.01,15,30,4,621.0288016796112,-7.703132720111922,11.623939699017223,2.502295659954453,602.7316352391343,5.809785556447084,-12.458876715037034,0.14126062393188477
4,10,32,0.01,15,30,5,576.242742061615,-11.853286289887507,1.750101506086549,56.46817690170621,987.0435756722391,12.228441487537198,-12.458876715037034,0.14126062393188477
