,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters,exact_gs_energy,bf_time
0,17,32,0.01,30,60,1,1273.8173940181732,-18.506660727128708,6.936186752252421,92.34123310796718,853.9033115424668,7,-30.367444910492523,10.321634292602539
1,17,32,0.01,30,60,2,1255.9395005702972,-18.506660727128708,12.50830109909666,51.203234050175375,166.65399962131497,13,-30.367444910492523,10.321634292602539
2,17,32,0.01,30,60,3,1282.7491657733917,-18.263681386111973,0.23856748429911054,47.05144710005599,31.93091505129449,4,-30.367444910492523,10.321634292602539
3,17,32,0.01,30,60,4,1303.9771296977997,-18.506660727128708,4.854365107818832,11.871993693666559,684.0548128021153,8,-30.367444910492523,10.321634292602539
4,17,32,0.01,30,60,5,1240.1438601016998,-18.506660727128708,7.078407532307019,24.630421732242475,134.34869796705263,11,-30.367444910492523,10.321634292602539
