,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters,exact_gs_energy,bf_time
0,10,32,0.01,30,60,1,1283.9793148040771,-10.656748773413106,4.99629594114977,54.053744185635644,663.8282657552669,8,-12.458876715037034,0.04861021041870117
1,10,32,0.01,30,60,2,1244.8060443401337,-7.703132720111922,13.45885995454801,51.8442340053089,184.52142166035057,11,-12.458876715037034,0.04861021041870117
2,10,32,0.01,30,60,3,1228.2439455986023,-7.703132720111922,38.797737784307316,93.70198133618261,975.9978229306865,10,-12.458876715037034,0.04861021041870117
3,10,32,0.01,30,60,4,1235.7645292282104,-10.656748773413106,5.659871338797681,7.621168330021285,677.3904449224635,11,-12.458876715037034,0.04861021041870117
4,10,32,0.01,30,60,5,1267.7046263217926,-9.418792079145252,0.20343739771021793,48.47136314127263,987.70547323277,10,-12.458876715037034,0.04861021041870117
