,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters,exact_gs_energy,bf_time
0,15,32,0.01,50,100,1,2072.336422920227,-17.153528412994216,2.4459084463323992,25.543437106332526,618.114000945853,14,-23.536590851525474,2.6040561199188232
1,15,32,0.01,50,100,2,2065.2449235916138,-11.265992910128086,43.60005421929823,3.566696950961242,549.7075116309213,7,-23.536590851525474,2.6040561199188232
2,15,32,0.01,50,100,3,2212.1862807273865,-11.60311119462771,7.014180376261934,6.715417294473788,82.96273169567766,14,-23.536590851525474,2.6040561199188232
3,15,32,0.01,50,100,4,2089.7983989715576,-18.655335756503444,2.3410474614235826,63.539060967202246,536.7981167327325,11,-23.536590851525474,2.6040561199188232
4,15,32,0.01,50,100,5,2180.4626100063324,-14.747411998939958,0.22241903903182578,47.47934880400015,981.4705907322499,6,-23.536590851525474,2.6040561199188232
