,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters,exact_gs_energy,bf_time
0,10,32,0.01,30,60,1,1841.729516029358,-10.656748773413106,11.456491269904594,422.6443468995132,724.6714533590396,10,-12.458876715037034,0.05793261528015137
1,10,32,0.01,30,60,2,1642.993020772934,-8.738727682558824,2.2169093197506786,88.94034940917696,997.889464577648,8,-12.458876715037034,0.05793261528015137
2,10,32,0.01,30,60,3,1821.6358695030212,-7.703132720111922,37.36063881476868,668.4666699305322,339.9146790904222,9,-12.458876715037034,0.05793261528015137
3,10,32,0.01,30,60,4,1795.8370985984802,-7.703132720111922,59.72706346531017,246.208254874519,732.6201892451088,13,-12.458876715037034,0.05793261528015137
4,10,32,0.01,30,60,5,1672.9354071617126,-10.656748773413106,11.52780442830405,89.59616646362004,127.59305888657212,12,-12.458876715037034,0.05793261528015137
