,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters,exact_gs_energy,bf_time
0,20,32,0.01,50,100,1,3532.653922557831,-17.994507162104945,10.961130805478813,460.36241281386106,903.1894816171745,13,-38.62443031163011,85.4511787891388
1,20,32,0.01,50,100,2,3381.029355764389,-17.83601193701438,19.78142048947134,262.7773136453889,8.211566312441317,13,-38.62443031163011,85.4511787891388
2,20,32,0.01,50,100,3,3825.5776031017303,-17.994507162104945,15.12938732050246,718.1416062107422,784.4262088313844,13,-38.62443031163011,85.4511787891388
3,20,32,0.01,50,100,4,3670.998054742813,-22.269958369716434,8.406037750159243,101.9743368536819,557.2896451162311,6,-38.62443031163011,85.4511787891388
4,20,32,0.01,50,100,5,3639.267190217972,-17.83601193701438,13.229158050743093,282.49614227585283,397.1001604151918,13,-38.62443031163011,85.4511787891388
