,n_spins,n_shots,delta_t,n_init,n_iters,seed,execution_time,min_energy,opt_beta,opt_annealing_time,opt_gamma_0,opt_n_trotters
0,20,32,0.01,15,30,1,610.243200302124,-23.3777687570349,13.937291500842376,25.651112597174507,453.8785976228494,11.19664548187088
1,20,32,0.01,15,30,2,635.2431871891022,-21.071445323677857,1.0181881694113064,54.116116929343676,137.11232823321663,12.72695631179605
2,20,32,0.01,15,30,3,640.8261835575104,-20.80358640229248,0.6730830416754435,96.43230077776046,25.28338784458148,3.8038609558050496
3,20,32,0.01,15,30,4,628.3850364685059,-20.704492245634974,6.994631310243706,89.59855332077402,621.0504146577775,12.35006157832959
4,20,32,0.01,15,30,5,623.0465514659882,-16.840182955435367,8.763589072278444,33.629375007956114,952.7371766802929,12.312387374799844
