,Date,Time,Qubits,Emulator,Features,Samples,Train_prop,Encoding,PCA,Accuracy,Fit_time,Pred_time
42,2025-07-13,23:10:03,11,myQLM,11,130,0.8,angle_encoding_z,True,1.0,261.7769687175751,65.75471043586731
43,2025-07-13,23:46:57,11,myQLM,11,130,0.8,zz_feature_map,True,0.9615384615384616,1760.8031687736511,453.5837495326996
44,2025-07-13,23:51:53,12,myQLM,12,130,0.8,angle_encoding_x,True,1.0,225.05488991737366,71.04268407821655
45,2025-07-13,23:57:27,12,myQLM,12,130,0.8,angle_encoding_y,True,1.0,272.2949616909027,60.99935579299927
46,2025-07-14,00:04:23,12,myQLM,12,130,0.8,angle_encoding_z,True,1.0,333.27392292022705,83.02976441383362
47,2025-07-14,01:07:16,12,myQLM,12,130,0.8,zz_feature_map,True,0.9615384615384616,3215.3564903736115,557.4953899383545
48,2025-07-14,01:12:08,13,myQLM,13,130,0.8,angle_encoding_x,False,1.0,234.46227955818176,57.28653144836426
49,2025-07-14,01:16:54,13,myQLM,13,130,0.8,angle_encoding_y,False,1.0,228.57051730155945,58.244577407836914
50,2025-07-14,01:23:31,13,myQLM,13,130,0.8,angle_encoding_z,False,1.0,318.3523290157318,77.96218538284302
51,2025-07-14,02:20:55,13,myQLM,13,130,0.8,zz_feature_map,False,0.9230769230769231,2766.3623831272125,678.313060760498
